Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Currency,Currency_Time,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade,Prerequisite_2_grade,Prerequisite_3_grade,Website,Course_Lang,Availability,Description,Career_Outcomes,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
PG,Australian Institute of Business,Adelaide,AIB | MBA,Computer Science & Information Technology,,"35,9641",AUD,year,18,Months,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/aib-mba/,English,A,"Drive your career forward and study a flexible online MBA for the real world. The AIB MBA provides practical learning that can be immediately applied in the workplace. One of the best online MBA’s for busy working people, AIB’s Master of Business Administration degree is affordable, fully accredited in Australia, globally recognised and industry aligned. Join Australia’s No.1 Online MBA provider!",,Australia,yes,no,no,no,no,
PG,Australian Institute of Business,Online,AIB | MBA,Computer Science & Information Technology,,"35,9641",AUD,year,18,Months,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/aib-mba/,English,A,"Drive your career forward and study a flexible online MBA for the real world. The AIB MBA provides practical learning that can be immediately applied in the workplace. One of the best online MBA’s for busy working people, AIB’s Master of Business Administration degree is affordable, fully accredited in Australia, globally recognised and industry aligned. Join Australia’s No.1 Online MBA provider!",,Australia,yes,no,no,no,no,
PG,Australian Institute of Business,Adelaide,Graduate Certificate in Management (GCM),Business & Commerce & Finance & Accounting,,"35,9641",AUD,year,8,Months,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/aib-mba/graduate-certificate-in-management/,English,A,AIB’s online Graduate Certificate in Management (GCM) is an accredited postgraduate qualification that is highly recognised internationally.,,Australia,yes,no,no,no,no,
PG,Australian Institute of Business,Online,Graduate Certificate in Management (GCM),Business & Commerce & Finance & Accounting,,"35,9641",AUD,year,8,Months,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/aib-mba/graduate-certificate-in-management/,English,A,AIB’s online Graduate Certificate in Management (GCM) is an accredited postgraduate qualification that is highly recognised internationally.,,Australia,yes,no,no,no,no,
PG,Australian Institute of Business,Adelaide,Master of Management,Business & Commerce & Finance & Accounting,,"35,9641",AUD,year,18,Months,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/master-of-management/,English,A,The Master of Management (MMgt) offers working managers an ideal opportunity to combine an element of coursework at Master’s level with an in-depth research project. The research undertaken is invariably designed to be useful to the candidate’s organisation.,,Australia,yes,yes,no,yes,no,
DPG,Australian Institute of Business,Adelaide,Doctor of Business Administration,Business & Commerce & Finance & Accounting,,"35,9641",AUD,year,3,Years,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/doctor-of-business-administration/,English,A,"The Doctor of Business Administration (DBA) is a research degree programme designed for experienced managers. It offers an opportunity to take your business and management knowledge and understanding to a higher level and, importantly, to relate it closely to your workplace needs. Like the PhD, the DBA offers a doctoral qualification but, in this case, one that is more directly linked to the world of work.",,Australia,yes,yes,no,yes,no,
DPG,Australian Institute of Business,Adelaide,Doctor of Philosophy (PhD),Humanities and Social Science,,"35,9641",AUD,year,3,Years,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/doctor-of-philosophy-phd/,English,A,"The Doctor of Philosophy (PhD) is the traditional doctoral qualification that is associated with a wide range of subjects in universities across the world. It offers an opportunity for research to be undertaken in depth and for the outcome to be assessed as a contribution to knowledge. Although it has a theoretical dimension, the research programme can also enable managers to explore specialist areas of practical application.",,Australia,yes,yes,no,yes,no,
PG,Australian Institute of Business,Adelaide,30-Day Masterclass: Business Consulting,Business & Commerce & Finance & Accounting,,"1,995",AUD,year,1,Month,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/30-day-masterclass-business-consulting/,English,A,Our 30-Day Masterclass in Business Consulting is an intensive short course that equips you to get ahead in your consulting career.,,Australia,yes,no,no,no,no,
PG,Australian Institute of Business,Online,30-Day Masterclass: Business Consulting,Business & Commerce & Finance & Accounting,,"1,995",AUD,year,1,Month,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/30-day-masterclass-business-consulting/,English,A,Our 30-Day Masterclass in Business Consulting is an intensive short course that equips you to get ahead in your consulting career.,,Australia,yes,no,no,no,no,
PG,Australian Institute of Business,Adelaide,30-Day Masterclass: Finance for Non-Financial Managers,Business & Commerce & Finance & Accounting,,"1,995",AUD,year,1,Month,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/30-day-masterclass-finance/,English,A,AIB’s 30-Day Masterclass: Finance for Non-Financial Managers is designed to bring every-day managers up to speed on their financial literacy and empower you to make confident financial decisions.,,Australia,yes,no,no,no,no,
PG,Australian Institute of Business,Online,30-Day Masterclass: Finance for Non-Financial Managers,Business & Commerce & Finance & Accounting,,"1,995",AUD,year,1,Month,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/30-day-masterclass-finance/,English,A,AIB’s 30-Day Masterclass: Finance for Non-Financial Managers is designed to bring every-day managers up to speed on their financial literacy and empower you to make confident financial decisions.,,Australia,yes,no,no,no,no,
PG,Australian Institute of Business,Adelaide,30-Day Masterclass: Artificial Intelligence for Managers,Computer Science & Information Technology,,"1,995",AUD,year,1,Month,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/30-day-masterclass-artificial-intelligence/,English,A,Our 30-Day Masterclass: Artificial Intelligence for Managers will build your fundamental understanding of how AI technologies can be leveraged by managers to solve common business problems and assist with delivering better company results.,,Australia,yes,no,no,no,no,
PG,Australian Institute of Business,Online,30-Day Masterclass: Artificial Intelligence for Managers,Computer Science & Information Technology,,"1,995",AUD,year,1,Month,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/30-day-masterclass-artificial-intelligence/,English,A,Our 30-Day Masterclass: Artificial Intelligence for Managers will build your fundamental understanding of how AI technologies can be leveraged by managers to solve common business problems and assist with delivering better company results.,,Australia,yes,no,no,no,no,
PG,Australian Institute of Business,Adelaide,30-Day Masterclass: The Executive Guide to Cyber Security,Computer Science & Information Technology,,"1,995",AUD,year,1,Month,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/30-day-masterclass-cyber-security/,English,A,"Today, cyber security is on the workplace agenda of all enterprises in much the same way as workplace safety and HR requirements. There is a growing demand for leadership teams to develop a strategy, processes, and compliance measures required to protect the organisation from cyber threats and respond quickly and confidently to security breaches.",,Australia,yes,no,no,no,no,
PG,Australian Institute of Business,Online,30-Day Masterclass: The Executive Guide to Cyber Security,Computer Science & Information Technology,,"1,995",AUD,year,1,Month,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/30-day-masterclass-cyber-security/,English,A,"Today, cyber security is on the workplace agenda of all enterprises in much the same way as workplace safety and HR requirements. There is a growing demand for leadership teams to develop a strategy, processes, and compliance measures required to protect the organisation from cyber threats and respond quickly and confidently to security breaches.",,Australia,yes,no,no,no,no,
PG,Australian Institute of Business,Adelaide,30-Day Masterclass: Sales Management,Business & Commerce & Finance & Accounting,,"1,995",AUD,year,1,Month,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/30-day-masterclass-sales-management/,English,A,"The role of a Sales Manager is no longer simply managing a sales team and setting and hitting targets. The future of sales lies in; getting better at predicting demand, identifying new ways to increase conversions, and using agile techniques to grow a business in a volatile environment.",,Australia,yes,no,no,no,no,
PG,Australian Institute of Business,Online,30-Day Masterclass: Sales Management,Business & Commerce & Finance & Accounting,,"1,995",AUD,year,1,Month,,,,IELTS,,,6.5,,https://www.aib.edu.au/courses/30-day-masterclass-sales-management/,English,A,"The role of a Sales Manager is no longer simply managing a sales team and setting and hitting targets. The future of sales lies in; getting better at predicting demand, identifying new ways to increase conversions, and using agile techniques to grow a business in a volatile environment.",,Australia,yes,no,no,no,no,
